id,parentId,title,type,document
1,0,Introduction,doc,"#Iintroduction.jpegqq• In India, citrus fruits ranks third in production after banana and mango. Among citrus crops, mandarin orange (Kinnow mandarin, Nagpur, Khasi, Darjling) covers largest area followed by sweet orange (Musambi, Pineapple, Blood Red and Jaffa) and Acid lime. Among these, Kinnow mandarin bears highest place in production, productivity, juice content and fruit quality. In India, Kinnow is being grown in Punjab, Rajasthan, Haryana, Himachal Pradesh, Jammu & Kashmir and Utter Pradesh.qq• The 'Kinnow' is a high yield mandarin hybrid cultivated extensively in the wider Punjab region of India and Pakistan. It is a hybrid of two citrus cultivars— 'King' (Citrus nobilis) × 'Willow Leaf' (Citrus × deliciosa) — first developed by Howard B. Frost, at the University of California Citrus Experiment Station. After evaluation, the 'Kinnow' was released as a new citrus hybrid for commercial cultivation in 1935. In a hot climate, plants can grow up to 35 feet (11 m) high.qq• 'Kinnow' trees are highly productive; it is not uncommon to find 1,000 fruits per tree. The fruit matures in January or February. It peels easily and has a high juice content. The high seed content in this variety is a major hindrance in out-of-hand eating. The mature citrus tree is a living and changing entity. Under the influence of a Mediterranean type, subtropical climate citrus species become dormant in winter, but do not shed their leaves. Auxiliary buds begin to break during warm spell, but the new shoots do not actively grow until late February or March. Flowering and fruit formation occur annually in most citrus species. Leaves auxiliary buds, thorns, flowers, and fruits are produced on citrus stem. Leaves are arranged spirally around the stem, and phyllotaxy is 3/8 for different species including mandarin. Citrus leaf is unifoliately compound and pinnately reticulate in venation.qq• Abscission zones occur between the petiole and stem. The dormant auxiliary vegetative bud begins growing as vegetative shoots. The interest of farmers in adoption of Kinnow cultivation is increasing day by day due to suitable agro-climatic conditions, higher crop yield and demand in international market."
2,0,Crop Production,list,document 2
3,0,Variety,doc,"It is the major fruit of Punjab state. Fruits are of golden orange color, juice is sweet and slightly acidic in taste with rich flavor. qqFruit are ready to harvest in January.
qq#Ilocal_variety.jpegqq• LocalqqGrown in small pockets. Fruits are small to medium in size. Skin is of cadmium yellow.
Fruits are ready to harvest in December to January.

qq#Ipau_variety.jpegqq• PAU Kinnow-1qqThe fruit matures in January month. The fruit contains 0-9 seeds. it gives an average yield of 45kilo per tree.

qq#Idaisy_variety.jpegqq• DaisyqqThe fruit matures in third week of November.
The fruit contains 10-15 seeds. It gives an average yield of 57kilo per tree."
4,0,Pest Management,list,document 4
5,0,Disease Management,list,document 5
6,0,Harvest,doc,"#Iharvest.jpegqq#HHarvesting
qq• Kinnow is generally harvested by secateurs/clipper followed by dropping on the ground and collection in crates/bags which ultimately accounts for considerable post-harvest loss. Damaged fruits during harvest are neither suitable for marketing nor for consumption.
qq• Postharvest losses of kinnow were highest at farm level (32.4%) followed by picking (19.6%), packaging (3.5%), carrying (2.2%), loading and transportation (7.1%) (Ahmad et al. 2015). The combined harvest and post-harvest losses in kinnow are to the tune of 25–30%. However, this quantum of losses can be effectively minimized with appropriate processing of kinnow into different value-added products. qq
qq• Citrus fruits have a relatively longer post-harvest life in comparison with other tropical and subtropical fruits. Proper storage of citrus fruits for an extended period is very essential for their proper utilization in the glut season.
qq• Kinnow is highly cherished as fresh and in processed form as well due to its quality attributes, particularly its tangy taste. While at its peak production during winter, it is processed into juices by the industry and fruit vendors. The fruit is abundantly rich in vitamin C, vitamin B, ?-carotene, calcium and phosphorous.
qq• Its startling color, distinguishing flavor and nutritional content create an impulse for beverages preparation. Despite its commercial prominence and nutritional benefits, the availability of fruit during off-season is very limited due to its poor shelf life of 8–10 days."
7,0,Post Harvest,doc,"#Ipostharvest.pngqq#HPack house operations
qqAfter harvesting, the general pack house operations involved in handling of kinnow includes
 (a) Collection
 (b) Pre-sorting
 (c) Washing 
 (d) Grading 
 (e) Waxing
 (f) Postharvest treatments 
 (g) Packaging.
qq• Packaging of the fruits is done manually in corrugated fiberboard CFB boxes with an approximate capacity of 10 kg each, however this can be changed as per the requirement.
qq#HWaxing and grading
qq• Waxing is a very important unit operation followed on a wide scale for kinnow in the production catchments. As such, kinnow has a very short shelf life of 8–10 days at the ambient condition which can be extended to about 20 days if the fruit is properly waxed or wrapped. Waxing helps in reduction of moisture loss, provides the barrier for gas exchange, restore shiny appearance and provide support for preserving agents. For the said purpose of waxing, natural waxes like beeswax, carnauba wax, candelilla wax, wood rosin, and shellac can be used. Fungicides are usually added to the wax or wax emulsion. Waxing in combination with some chemicals viz. sesame oil, captafol, potassium permanganate, and mustard oil helped in improving the shelf life and reducing the physiological loss in weight (PLW) of kinnow. Waxol is a commercial paraffin wax emulsion and its 12% concentration helped in the retention of highest quality kinnow for 35 days.
qqWaxing and grading are performed simultaneously for effective domestic and export marketing. This can be achieved either manually or with size/weight based graders. As per the grading standards suggested by Directorate of Marketing and Inspection, Government of India, kinnow can be graded into six grades based on fruit diameter viz, A: 60–64 mm, B: 65–69 mm, C: 70–72 mm, D: 72–74 mm, E: 75–79 mm and F: 80–85 mm, respectively.
qq#HProcessing and value addition
qq• Significant amount of pre-harvest losses, limited shelf life at ambient condition, poor postharvest management practices urged the farmers to explore various aspects of kinnow processing. Appropriate processing may help in minimizing the market glut and also extend its availability period. The desired characteristics for processing of kinnow include, fruit being slightly soft to firm, deep orange to red in color, smooth-skinned with no deep grooves. From the processing perspective, the fruit is mainly processed in the form of juice related products like squash, nectar, ready to serve (RTS), fermented products, juice powder, etc.
qq#HPulp
qq• Kinnow pulp constitutes of juice (51–54%) with TSS (9–10.3°B), acidity (0.55–1.0%), ascorbic acid (41–53 mg/100 ml), total sugars (7.2–7.5%), total phenolic content (852–1059 ppm), antioxidant activity (65–73% DPPH inhibition), calcium (0.75 mg/100 ml) and iron (0.338 mg/100 ml), respectively. The properties of kinnow pulp and reported the corresponding values of moisture content (87.1%), TSS (10.8°B), acidity (0.69%), ascorbic acid (18.5 mg/100 ml), total sugars (4.4%), reducing sugars (2.9%), limonin (25 ppm), ash (0.46%), L value (lightness, 50.2), a value (redness and greenness, 16.0) and b value (yellowness and blueness, 38.4), respectively.
qq#HJuice
qq• The juice content of kinnow fruit generally varies due to numerous factors such as variety, climate, cultural practices, etc. On a small scale, the juice is usually extracted by hand reaming where the fruits are halved in two parts and juice is extracted by reaming the halves on a suitable rosette. The rosette is usually conical in shape and has ribbed or grooved sides. This method of juice extraction is best, as it does not break the oil cells of the peel nor crush the seeds. On the contrary, mechanical juice extractors are also available for juice extraction where sometimes, the peel is removed manually and peeled kinnow is fed into the screw type juice extractor to extract the juice. Juice yield of around 40% by manual method and yield of around 60% can be obtained by mechanical juice extraction method.
qq#HBlended juice
qq• Blended juices prepared from the concentrates of two or more varieties are available in the market. Kinnow juice is blended with less acidic and less bitter citrus juice.
qq#HJuice powder
qq• Production of fruit juice powder assumed great dimensions in recent time due to its numerous advantages in reference to ease in handling, transportation and storage. Juice powder can be a suitable adjunct for confectionery, bakery and ice cream industries. Spray drying is the most widespread of methods for drying liquid foods.
qq#HConcentrate
qq• Concentration of liquid foods reduces the expenses involved in transportation, storage and handling operations. The process also ensures the utilization and availability of fruit juice throughout the year. The concentration of kinnow juice was done under vacuum (27–28 inch Hg) at 50–60 °C in a Bucchi type (glass apparatus) evaporator.
qq#HJam
qq• Jam is unpeeled and lye peeled kinnow segments. The jam was concentrated to 70°B, packed in airtight glass jars and stored under ambient condition (16–20 °C) for 105 days. Bitterness didn’t occur in jam prepared from lye peeled segments till 105 days, whereas there was a sign of bitterness reported in jam prepared using unpeeled segments after 30 days, which gradually increased during storage. The prepared jam had TSS (70°B), acidity (1.34%), ascorbic acid (26.33 mg/100 ml of juice), total sugars (61.05%), flavor (8.33) and color (8.13)."
8,0,Contact Us,,document 8
9,2,Propagation of Kinnow,doc,"#Ipropagation.jpegqq• The propagation of mandarin orange is largely through seed, except the `Nagpur' and `Emperor' varieties, which are propagated by budding. Like other citrus species, the seed is polyembryonic. qq• Therefore, while propagating by seed, the sexual seedlings, which are usually stunted and poor, are rogued out and the rest that are produced from the cells of the nucellus are allowed to grow. The seedlings, thus selected, are more or less uniform in growth and production. They are, however, late in bearing and remain tall and slender. qq• Budded plants do not suffer from these defects. The kinnow mandarin is usually budded on rough lemon (jambhiri, Soh-myndong or jatli khatti) rootstock. qq• The kinnow is also budded on the kharna khatta rootstock."
10,2,Plantation,doc,"#Iplantation.jpegqq• The planting of kinnow should be done on the onset of monsoon from the middle of July up to end of September.qq• The plantation of the wind breaks such as Shisham, Mulberry seeding, Mango, Jamun, Guava and Aonla etc. on the boundaries of orchard in double row helps to minimize the effect of strong winds."
